"SpeciesCode","SpeciesName","DataSet"
0,"Bare substratum","Benthic cover"
2,"Anthopleura sola","Benthic cover"
12,"Dodecaceria fewkesi","Benthic cover"
24,"Patiria miniata","Benthic density"
25,"Phragmatopoma californica","Benthic cover"
29,"Strongylocentrotus franciscanus","Benthic density"
29,"Strongylocentrotus franciscanus","Benthic cover"
30,"Strongylocentrotus purpuratus","Benthic density"
30,"Strongylocentrotus purpuratus","Benthic cover"
45,"Acanthancora cyanocrypta","Benthic cover"
46,"Aglaophenia spp.","Benthic cover"
47,"Balanophyllia elegans","Benthic cover"
48,"Corynactis californica","Benthic cover"
49,"Epiactis prolifera","Benthic cover"
50,"Diopatra ornata","Benthic cover"
51,"Serpulorbis squamiger","Benthic cover"
52,"Cellaria spp.","Benthic cover"
53,"Crisia spp.","Benthic cover"
54,"Hippodiplosia insculpta","Benthic cover"
55,"Membranipora fusca","Benthic cover"
56,"Pink encrusting bryozoan","Benthic cover"
57,"Cucumeria fisheri","Benthic cover"
58,"Eupentacta quinquesemita","Benthic cover"
59,"Pachythyone rubra","Benthic cover"
60,"Synoicum spp.","Benthic cover"
61,"Abietinaria spp.","Benthic cover"
62,"Acarnus erithacus","Benthic cover"
63,"Aplidium spp.","Benthic cover"
64,"Archidistoma psammion","Benthic cover"
65,"Astrangia lajollaensis","Benthic cover"
66,"Megastraea undosa","Benthic density"
67,"Astrometis sertulifera","Benthic density"
69,"Balanus spp.","Benthic cover"
70,"Barnacle","Benthic cover"
72,"Celleporina costazii","Benthic cover"
73,"Cucumaria salma","Benthic cover"
74,"Cystodytes lobatus","Benthic cover"
75,"Dermasterias imbricata","Benthic density"
76,"Didemnum carnulentum","Benthic cover"
77,"Diplosoma macdonaldi","Benthic cover"
78,"Dodecaceria spp.","Benthic cover"
79,"Unknown sponge","Benthic cover"
80,"Halichondria spp.","Benthic cover"
81,"Haliotis corrugata","Benthic density"
82,"Haliotis rufescens","Benthic density"
82,"Haliotis rufescens","Benthic cover"
83,"Lagenipora spp.","Benthic cover"
84,"Leucilla nuttingi","Benthic cover"
85,"Megathura crenulata","Benthic density"
86,"Metandrocarpa dura","Benthic cover"
87,"Orange encrusting sponge","Benthic cover"
88,"Paracyathus stearnsii","Benthic cover"
89,"Parastichopus parvimensis","Benthic density"
91,"Pholad clam","Benthic cover"
92,"Pisaster giganteus","Benthic density"
96,"Ritterella aequalisiphonis","Benthic cover"
97,"Unknown tunicate","Benthic cover"
98,"Serpulid worm","Benthic cover"
99,"Spheciospongia confoederata","Benthic cover"
100,"Stylantheca porphyra","Benthic cover"
101,"Styela montereyensis","Benthic cover"
102,"Urticina spp.","Benthic cover"
103,"Tethya aurantia","Benthic cover"
104,"Trididemnum opacum","Benthic cover"
105,"Sertularia spp.","Benthic cover"
107,"Hydractinia milleri","Benthic cover"
108,"Unidentified spp.","Benthic cover"
109,"Archidistoma molli","Benthic cover"
110,"Mucus tube","Benthic cover"
111,"Worm tube sand","Benthic cover"
113,"Phidolopora pacifica","Benthic cover"
114,"Lissothuria nutriens","Benthic cover"
116,"Eurystomella bilabiata","Benthic cover"
117,"Anthopleura spp.","Benthic cover"
118,"Salmacina tribranchiata","Benthic cover"
119,"Bugula spp.","Benthic cover"
121,"Plumularia spp.","Benthic cover"
122,"Schizoporella unicornis","Benthic cover"
123,"Leucosolenia eleanor","Benthic cover"
127,"Rootbeer brown sponge","Benthic cover"
128,"Leucetta losangelensis","Benthic cover"
129,"Microciona parthena","Benthic cover"
130,"Gold encrusting bryozoan","Benthic cover"
131,"Boltenia villosa","Benthic cover"
132,"Sabellid polychaete","Benthic cover"
134,"Clavelina huntsmani","Benthic cover"
135,"Parchment tube polychaete","Benthic cover"
138,"Thalamoporella california","Benthic cover"
139,"Pista elongata","Benthic cover"
140,"Sertularella turgida","Benthic cover"
141,"Spirobranchus spinosus","Benthic cover"
142,"Polyclinum planum","Benthic cover"
143,"Crepipatella lingulata","Benthic cover"
147,"Crassadoma gigantea","Benthic cover"
148,"Rubble/Shell","Benthic cover"
150,"Pycnoclavella stanleyi","Benthic cover"
151,"Unidentified Ophiuroid","Benthic cover"
152,"Pycnopodia helianthoides","Benthic density"
500,"Encrusting red algae","Benthic cover"
501,"Gelidium spp.","Benthic cover"
502,"Ulva spp.","Benthic cover"
503,"Encrusting coralline algae","Benthic cover"
507,"Gigartina spp.","Benthic cover"
510,"Dictyota flabellata","Benthic cover"
516,"Corallina epiphyte","Benthic cover"
519,"Prionitis lanceolata","Benthic cover"
521,"Filamentous red algae","Benthic cover"
522,"Cladophora spp.","Benthic cover"
526,"Bossiella spp.","Benthic cover"
527,"Taonia lennebackerae","Benthic cover"
530,"Polysiphonia spp.","Benthic cover"
533,"Laurencia spp.","Benthic cover"
535,"Cryptopleura spp.","Benthic cover"
536,"Colpomenia spp.","Benthic cover"
540,"Fauchea laciniata","Benthic cover"
541,"Laurencia pacifica","Benthic cover"
542,"Sand","Benthic cover"
543,"Codium setchellii/hubbsii","Benthic cover"
544,"Codium fragile","Benthic cover"
549,"Laurencia crispa","Benthic cover"
550,"Plocamium cartilagineum","Benthic cover"
551,"Red algae spp.","Benthic cover"
553,"Cystoseira osmundacea","Benthic density"
553,"Cystoseira osmundacea","Benthic cover"
554,"Dictyota binghamiae","Benthic cover"
555,"Kelp holdfast","Benthic cover"
556,"Laminaria spp.","Benthic density"
556,"Laminaria spp.","Benthic cover"
557,"Macrocystis pyrifera <1m","Benthic density"
557,"Macrocystis pyrifera <1m","Benthic cover"
558,"Young laminariales","Benthic density"
558,"Young laminariales","Benthic cover"
559,"Nienburgia andersoniana","Benthic cover"
560,"Calliarthron spp.","Benthic cover"
561,"Corallina officinalis","Benthic cover"
562,"Pterosiphonia spp.","Benthic cover"
563,"Red turf algae","Benthic cover"
564,"Botryocladia pseudodichotoma","Benthic cover"
565,"Rhodymenia californica","Benthic cover"
566,"Bryopsis corticulans","Benthic cover"
567,"Kallymenia pacifica","Benthic cover"
568,"Gelidium robustum","Benthic cover"
570,"Opuntiella californica","Benthic cover"
571,"Callophyllis flabellulata","Benthic cover"
572,"Cladophora graminea","Benthic cover"
573,"Lithothrix aspergillum","Benthic cover"
574,"Eisenia arborea","Benthic density"
574,"Eisenia arborea","Benthic cover"
575,"Pterygophora californica","Benthic density"
575,"Pterygophora californica","Benthic cover"
577,"Dictyopteris undulata","Benthic cover"
579,"Diatom film","Benthic cover"
580,"Neoptilota densa","Benthic cover"
581,"Desmarestia ligulata","Benthic cover"
582,"Pachydictyon coriaceum","Benthic cover"
583,"Gigartina corymbifera","Benthic cover"
584,"Gigartina exasperata","Benthic cover"
585,"Filamentous brown","Benthic cover"
586,"Coeloseira compressa","Benthic cover"
587,"Giffordia granulosa","Benthic cover"
589,"Macrocystis pyrifera >1m","Benthic density"
589,"Macrocystis pyrifera >1m","Benthic cover"
590,"Derbesia marina","Benthic cover"
591,"Zonaria farlowii","Benthic cover"
593,"Haliptylon gracile","Benthic cover"
595,"Filamentous green algae","Benthic cover"
603,"Dictyoneurum californicum","Benthic cover"
607,"Botryoglossum farlowianum","Benthic cover"
608,"Polyneura latissima","Benthic cover"
609,"Erythrophyllum delesserioides","Benthic cover"
612,"Pikea spp.","Benthic cover"
616,"Laminaria setchellii","Benthic cover"
617,"Sargassum muticum","Benthic cover"
1001,"Paralabrax clathratus","Midwater fish density"
1002,"Hypsypops rubicundus","Midwater fish density"
1002,"Hypsypops rubicundus","Benthic fish density"
1003,"Chromis punctipinnis","Midwater fish density"
1003,"Chromis punctipinnis","Benthic fish density"
1004,"Medialuna californiensis","Midwater fish density"
1005,"Girella nigricans","Midwater fish density"
1006,"Semicossyphus pulcher (f)","Midwater fish density"
1008,"Semicossyphus pulcher (m)","Midwater fish density"
1009,"Oxyjulis californica","Midwater fish density"
1010,"Halichoeres semicinctus","Midwater fish density"
1011,"Sebastes auriculatus","Midwater fish density"
1011,"Sebastes auriculatus","Benthic fish density"
1012,"Sebastes carnatus","Midwater fish density"
1012,"Sebastes carnatus","Benthic fish density"
1013,"Sebastes mystinus","Midwater fish density"
1014,"Sebastes atrovirens","Midwater fish density"
1014,"Sebastes atrovirens","Benthic fish density"
1015,"Sebastes serranoides","Midwater fish density"
1016,"Sebastes rastrelliger","Midwater fish density"
1016,"Sebastes rastrelliger","Benthic fish density"
1017,"Sebastes caurinus","Midwater fish density"
1017,"Sebastes caurinus","Benthic fish density"
1018,"Sebastes miniatus","Midwater fish density"
1018,"Sebastes miniatus","Benthic fish density"
1019,"Sebastes serriceps","Midwater fish density"
1019,"Sebastes serriceps","Benthic fish density"
1020,"Sebastes chrysomelas","Midwater fish density"
1020,"Sebastes chrysomelas","Benthic fish density"
1021,"Scorpaena guttata","Midwater fish density"
1021,"Scorpaena guttata","Benthic fish density"
1022,"Embiotoca jacksoni","Midwater fish density"
1023,"Embiotoca lateralis","Midwater fish density"
1024,"Rhacochilus vacca","Midwater fish density"
1025,"Hypsurus caryi","Midwater fish density"
1026,"Rhacochilus toxotes","Midwater fish density"
1027,"Brachyistius frenatus","Midwater fish density"
1028,"Phanerodon furcatus","Midwater fish density"
1029,"Scorpaenichthys marmoratus","Midwater fish density"
1029,"Scorpaenichthys marmoratus","Benthic fish density"
1030,"Leiocottus hirundo","Midwater fish density"
1030,"Leiocottus hirundo","Benthic fish density"
1031,"Artedius spp.","Midwater fish density"
1031,"Artedius spp.","Benthic fish density"
1032,"Orthonopias spp.","Midwater fish density"
1032,"Orthonopias spp.","Benthic fish density"
1033,"Caulolatilus princeps","Midwater fish density"
1034,"Hexagrammos spp.","Midwater fish density"
1034,"Hexagrammos spp.","Benthic fish density"
1035,"Ophiodon elongatus","Midwater fish density"
1035,"Ophiodon elongatus","Benthic fish density"
1036,"Oxylebius pictus","Midwater fish density"
1036,"Oxylebius pictus","Benthic fish density"
1037,"Trachurus symmetricus","Midwater fish density"
1038,"Gibbonsia spp.","Midwater fish density"
1038,"Gibbonsia spp.","Benthic fish density"
1039,"Heterostichus rostratus","Midwater fish density"
1039,"Heterostichus rostratus","Benthic fish density"
1040,"Neoclinus spp.","Midwater fish density"
1040,"Neoclinus spp.","Benthic fish density"
1041,"Lythrypnus dalli","Midwater fish density"
1041,"Lythrypnus dalli","Benthic fish density"
1042,"Rhinogobiops nicholsii","Midwater fish density"
1042,"Rhinogobiops nicholsii","Benthic fish density"
1043,"Lythrypnus zebra","Midwater fish density"
1043,"Lythrypnus zebra","Benthic fish density"
1044,"Aulorhynchus flavidus","Midwater fish density"
1045,"Pleuronichthys coenosus","Midwater fish density"
1045,"Pleuronichthys coenosus","Benthic fish density"
1046,"Torpedo californica","Midwater fish density"
1046,"Torpedo californica","Benthic fish density"
1047,"Myliobatis californica","Midwater fish density"
1047,"Myliobatis californica","Benthic fish density"
1048,"Squatina californica","Midwater fish density"
1048,"Squatina californica","Benthic fish density"
1049,"Cephaloscyllium ventriosum","Midwater fish density"
1049,"Cephaloscyllium ventriosum","Benthic fish density"
1051,"Sebastes spp.","Midwater fish density"
1051,"Sebastes spp.","Benthic fish density"
1052,"Citharichthys spp.","Midwater fish density"
1052,"Citharichthys spp.","Benthic fish density"
1053,"Cebidichthys violaceus","Midwater fish density"
1053,"Cebidichthys violaceus","Benthic fish density"
1054,"Triakis semifasciata","Midwater fish density"
1055,"Hyperprosopon anale","Midwater fish density"
1055,"Hyperprosopon anale","Benthic fish density"
1056,"Atherinops affinis","Midwater fish density"
1058,"Sebastes paucispinis","Midwater fish density"
1058,"Sebastes paucispinis","Benthic fish density"
1059,"Cymatogaster aggregata","Midwater fish density"
1060,"Syngnathus spp.","Midwater fish density"
1060,"Syngnathus spp.","Benthic fish density"
1061,"Stereolepis gigas","Midwater fish density"
1061,"Stereolepis gigas","Benthic fish density"
1062,"Gymnothorax mordax","Midwater fish density"
1062,"Gymnothorax mordax","Benthic fish density"

